order3,order4,order5,order6,order7
960.38477,794.52716,662.75397,529.57080,381.48898
960.38538,794.51813,662.75549,529.59436,381.54474
960.38599,794.50903,662.75690,529.61786,381.60046
960.38660,794.50000,662.75830,529.64130,381.65613
960.38721,794.49097,662.75977,529.66473,381.71173
960.38782,794.48193,662.76123,529.68817,381.76733
960.38843,794.47284,662.76257,529.71155,381.82285
960.38904,794.46375,662.76398,529.73486,381.87836
960.38971,794.45465,662.76538,529.75818,381.93378
960.39038,794.44556,662.76666,529.78149,381.98920
960.39099,794.43646,662.76801,529.80481,382.04456
960.39160,794.42737,662.76935,529.82800,382.09985
960.39221,794.41821,662.77063,529.85126,382.15515
960.39288,794.40912,662.77191,529.87445,382.21039
960.39355,794.40002,662.77319,529.89764,382.26556
960.39417,794.39087,662.77441,529.92078,382.32074
960.39484,794.38171,662.77563,529.94391,382.37582
960.39551,794.37256,662.77686,529.96698,382.43091
960.39612,794.36340,662.77808,529.99005,382.48590
960.39679,794.35425,662.77930,530.01306,382.54089
960.39746,794.34503,662.78046,530.03607,382.59583
960.39807,794.33582,662.78162,530.05908,382.65070
960.39880,794.32666,662.78278,530.08203,382.70557
960.39941,794.31750,662.78394,530.10492,382.76038
960.40015,794.30823,662.78503,530.12781,382.81512
960.40076,794.29907,662.78613,530.15070,382.86984
960.40143,794.28986,662.78723,530.17358,382.92453
960.40210,794.28064,662.78827,530.19641,382.97916
960.40283,794.27142,662.78931,530.21918,383.03375
960.40344,794.26221,662.79034,530.24194,383.08832
960.40417,794.25293,662.79138,530.26471,383.14282
960.40485,794.24365,662.79236,530.28741,383.19727
960.40552,794.23444,662.79333,530.31012,383.25171
960.40625,794.22516,662.79431,530.33276,383.30609
960.40692,794.21588,662.79529,530.35541,383.36041
960.40759,794.20667,662.79626,530.37805,383.41473
960.40833,794.19733,662.79718,530.40063,383.46899
960.40900,794.18805,662.79810,530.42322,383.52319
960.40967,794.17871,662.79901,530.44574,383.57736
960.41040,794.16943,662.79987,530.46826,383.63150
960.41113,794.16016,662.80078,530.49072,383.68558
960.41187,794.15076,662.80164,530.51318,383.73962
960.41254,794.14148,662.80249,530.53564,383.79364
960.41333,794.13220,662.80322,530.55798,383.84760
960.41400,794.12280,662.80408,530.58038,383.90152
960.41473,794.11346,662.80487,530.60278,383.95538
960.41541,794.10413,662.80566,530.62506,384.00922
960.41620,794.09473,662.80640,530.64734,384.06305
960.41687,794.08539,662.80719,530.66968,384.11679
960.41760,794.07605,662.80792,530.69189,384.17050
960.41833,794.06665,662.80865,530.71411,384.22418
960.41913,794.05725,662.80933,530.73633,384.27783
960.41986,794.04785,662.81006,530.75854,384.33139
960.42059,794.03845,662.81073,530.78064,384.38495
960.42139,794.02905,662.81140,530.80280,384.43848
960.42212,794.01965,662.81201,530.82489,384.49191
960.42285,794.01025,662.81262,530.84692,384.54535
960.42358,794.00079,662.81329,530.86902,384.59872
960.42432,793.99133,662.81384,530.89099,384.65207
960.42511,793.98193,662.81445,530.91302,384.70538
960.42590,793.97247,662.81506,530.93500,384.75864
960.42664,793.96301,662.81561,530.95697,384.81186
960.42737,793.95361,662.81616,530.97888,384.86505
960.42822,793.94409,662.81665,531.00079,384.91818
960.42896,793.93463,662.81714,531.02264,384.97128
960.42969,793.92517,662.81769,531.04449,385.02435
960.43054,793.91565,662.81818,531.06635,385.07736
960.43127,793.90619,662.81860,531.08813,385.13034
960.43213,793.89667,662.81909,531.10986,385.18329
960.43286,793.88721,662.81958,531.13165,385.23618
960.43365,793.87769,662.81995,531.15338,385.28903
960.43445,793.86816,662.82037,531.17505,385.34186
960.43524,793.85864,662.82080,531.19672,385.39462
960.43604,793.84912,662.82117,531.21838,385.44736
960.43689,793.83960,662.82153,531.23999,385.50006
960.43768,793.83008,662.82190,531.26160,385.55270
960.43848,793.82050,662.82227,531.28320,385.60532
960.43933,793.81091,662.82257,531.30469,385.65790
960.44006,793.80139,662.82288,531.32623,385.71045
960.44092,793.79181,662.82318,531.34778,385.76294
960.44177,793.78223,662.82349,531.36926,385.81537
960.44250,793.77264,662.82373,531.39069,385.86780
960.44336,793.76306,662.82397,531.41211,385.92017
960.44421,793.75348,662.82422,531.43353,385.97253
960.44507,793.74390,662.82446,531.45490,386.02481
960.44586,793.73425,662.82471,531.47626,386.07706
960.44666,793.72467,662.82489,531.49756,386.12927
960.44751,793.71503,662.82507,531.51886,386.18146
960.44836,793.70544,662.82520,531.54016,386.23358
960.44922,793.69580,662.82544,531.56140,386.28571
960.45007,793.68616,662.82556,531.58264,386.33777
960.45093,793.67651,662.82568,531.60388,386.38977
960.45178,793.66687,662.82581,531.62506,386.44177
960.45264,793.65723,662.82593,531.64624,386.49371
960.45349,793.64758,662.82599,531.66736,386.54559
960.45435,793.63788,662.82605,531.68848,386.59747
960.45520,793.62823,662.82611,531.70959,386.64929
960.45612,793.61853,662.82617,531.73065,386.70108
960.45697,793.60889,662.82617,531.75165,386.75281
960.45789,793.59918,662.82623,531.77271,386.80450
960.45874,793.58948,662.82623,531.79370,386.85620
960.45959,793.57977,662.82623,531.81464,386.90784
960.46051,793.57007,662.82617,531.83557,386.95941
960.46143,793.56036,662.82617,531.85657,387.01096
960.46228,793.55066,662.82611,531.87744,387.06247
960.46320,793.54089,662.82605,531.89832,387.11395
960.46411,793.53113,662.82599,531.91913,387.16541
960.46497,793.52148,662.82593,531.94000,387.21680
960.46588,793.51172,662.82581,531.96082,387.26813
960.46680,793.50195,662.82568,531.98157,387.31946
960.46771,793.49219,662.82556,532.00232,387.37073
960.46863,793.48242,662.82538,532.02307,387.42200
960.46948,793.47266,662.82526,532.04376,387.47318
960.47046,793.46289,662.82507,532.06445,387.52435
960.47137,793.45312,662.82489,532.08514,387.57547
960.47229,793.44336,662.82471,532.10577,387.62656
960.47327,793.43353,662.82446,532.12634,387.67761
960.47418,793.42371,662.82422,532.14697,387.72864
960.47510,793.41394,662.82397,532.16760,387.77960
960.47607,793.40417,662.82373,532.18811,387.83054
960.47693,793.39429,662.82349,532.20862,387.88144
960.47791,793.38452,662.82324,532.22913,387.93231
960.47888,793.37469,662.82294,532.24963,387.98309
960.47980,793.36487,662.82263,532.27008,388.03391
960.48077,793.35498,662.82233,532.29053,388.08466
960.48169,793.34515,662.82202,532.31091,388.13538
960.48267,793.33533,662.82166,532.33130,388.18604
960.48364,793.32544,662.82129,532.35168,388.23669
960.48462,793.31561,662.82092,532.37201,388.28726
960.48560,793.30573,662.82056,532.39233,388.33783
960.48657,793.29590,662.82013,532.41266,388.38837
960.48755,793.28601,662.81970,532.43292,388.43884
960.48853,793.27612,662.81934,532.45312,388.48929
960.48950,793.26624,662.81885,532.47339,388.53967
960.49048,793.25635,662.81842,532.49359,388.59006
960.49146,793.24646,662.81799,532.51379,388.64038
960.49249,793.23651,662.81750,532.53394,388.69070
960.49347,793.22662,662.81702,532.55408,388.74097
960.49451,793.21667,662.81653,532.57422,388.79120
960.49548,793.20679,662.81604,532.59430,388.84137
960.49652,793.19684,662.81549,532.61438,388.89151
960.49756,793.18689,662.81494,532.63440,388.94162
960.49854,793.17700,662.81433,532.65442,388.99170
960.49951,793.16699,662.81384,532.67444,389.04175
960.50055,793.15710,662.81323,532.69446,389.09174
960.50159,793.14716,662.81262,532.71442,389.14169
960.50256,793.13721,662.81201,532.73431,389.19162
960.50366,793.12720,662.81140,532.75427,389.24152
960.50464,793.11719,662.81079,532.77417,389.29138
960.50574,793.10724,662.81018,532.79401,389.34119
960.50671,793.09729,662.80957,532.81384,389.39099
960.50781,793.08728,662.80884,532.83368,389.44073
960.50879,793.07727,662.80817,532.85352,389.49042
960.50989,793.06732,662.80750,532.87329,389.54010
960.51099,793.05731,662.80676,532.89301,389.58972
960.51202,793.04724,662.80609,532.91278,389.63934
960.51306,793.03729,662.80530,532.93250,389.68890
960.51416,793.02722,662.80457,532.95221,389.73843
960.51520,793.01721,662.80383,532.97186,389.78790
960.51624,793.00720,662.80310,532.99152,389.83734
960.51733,792.99719,662.80231,533.01117,389.88678
960.51843,792.98718,662.80151,533.03076,389.93616
960.51953,792.97711,662.80072,533.05035,389.98550
960.52063,792.96704,662.79993,533.06995,390.03482
960.52173,792.95703,662.79907,533.08948,390.08411
960.52277,792.94690,662.79822,533.10895,390.13336
960.52386,792.93683,662.79736,533.12848,390.18256
960.52502,792.92676,662.79651,533.14795,390.23169
960.52606,792.91675,662.79565,533.16742,390.28082
960.52722,792.90662,662.79480,533.18689,390.32993
960.52832,792.89655,662.79382,533.20630,390.37897
960.52942,792.88647,662.79297,533.22571,390.42804
960.53052,792.87634,662.79199,533.24506,390.47699
960.53162,792.86627,662.79108,533.26440,390.52594
960.53278,792.85614,662.79016,533.28375,390.57489
960.53394,792.84607,662.78918,533.30304,390.62378
960.53503,792.83594,662.78821,533.32233,390.67261
960.53613,792.82581,662.78723,533.34161,390.72144
960.53735,792.81567,662.78625,533.36084,390.77020
960.53845,792.80554,662.78516,533.38007,390.81894
960.53961,792.79541,662.78418,533.39929,390.86765
960.54077,792.78528,662.78314,533.41846,390.91632
960.54187,792.77515,662.78210,533.43762,390.96497
960.54309,792.76495,662.78101,533.45679,391.01355
960.54419,792.75476,662.77997,533.47589,391.06213
960.54541,792.74463,662.77893,533.49500,391.11066
960.54651,792.73450,662.77783,533.51404,391.15915
960.54773,792.72430,662.77673,533.53314,391.20761
960.54889,792.71411,662.77557,533.55212,391.25604
960.55005,792.70392,662.77441,533.57117,391.30444
960.55127,792.69373,662.77332,533.59015,391.35278
960.55243,792.68359,662.77216,533.60913,391.40112
960.55365,792.67334,662.77100,533.62811,391.44940
960.55481,792.66315,662.76984,533.64703,391.49765
960.55603,792.65295,662.76868,533.66595,391.54587
960.55725,792.64270,662.76746,533.68488,391.59406
960.55847,792.63257,662.76624,533.70374,391.64221
960.55969,792.62231,662.76501,533.72260,391.69031
960.56085,792.61206,662.76379,533.74139,391.73840
960.56207,792.60181,662.76257,533.76025,391.78644
960.56329,792.59161,662.76129,533.77899,391.83447
960.56451,792.58136,662.76001,533.79779,391.88245
960.56573,792.57117,662.75873,533.81653,391.93039
960.56702,792.56091,662.75745,533.83527,391.97830
960.56824,792.55066,662.75610,533.85400,392.02618
